mjölk,milk
träd,tree
turist,tourist
buffet,buffet
transport,transport
dricka,drink
cola,coke
pepsi,pepsi
väder,weather
medecin,medicine
måndag,monday
tisdag,tuesday
onsdag,wednesday
torsdag,thursday
fredag,friday
lörsdag,saturday
söndag,sunday
dag,day
månad,month
år,year
feber,fever
okej,okay
kamra,camera
videokamra,videocamera
mobil,cell phone
baka,bake
natur,nature
se,see
lyssna,listen
rutten,rotten
ny,new
ut,out
hård,hard
hår,hair
bröd,bread
pizza,pizza
spagetti,spaghetti
lasange,lasagna
potatis,potatoes
sås,sauce
att,at/to
fisk,fish
stek,steak
lite,little
kebab,kebab
kaffe,coffee
trädgård,garden
möbler,furniture
fin,nice
blommor,flowers
vandra,hiking
lukta,smell
smaka,taste
gammal,old
mysa,cuddle
mat,food
äta,eat
leka,play
mjuk,soft
bra,good
dålig,not good
skynda,hurry
springa,run
till,to
bil,car
tåg,train
buss,bus
cykel,bicycle
plan,plane
räkor,shrimp
inte,not
grilla,barbecue
korv,hot dog
akut,emergency
allt,everything
vackert,beautiful
stad,city
överallt,above all
hur,how
när,when
äl,beer
vin,wine
någon,someone
någostans,somewhere
huvud,head
huvudvärk,headache
är,is
aldrig,never
